,sense1_heading,sense1_web_id,sense1_gloss,sense2_heading,sense2_web_id,sense2_gloss,hypernym,hyponym,none,synonymy
0,cipars,1.,Grafiska zime skaitla apzimešanai.,numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",5.1363603e-08,8.829452e-15,1.0,4.0285015e-30
1,cipars,1.1.,"Ar šadam zimem apzimets skaitlis, daudzums.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",7.071403e-07,2.471976e-10,0.9999993,1.0249359e-24
2,cipars,2.,Joks ; interesants gajiens.,numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",0.96116763,5.3355207e-06,0.038826965,4.6092669e-10
3,kopa,1.,"Grupa, kuras sastavdalas saista noteiktas attieksmes, pazimes, ipašibas.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",6.226265e-09,5.738157e-13,1.0,3.8666382e-32
4,kopa,1.1.,"Patvaligu elementu savienojums viena vesela (ari klase, sistema utt.), ko raksturo noteikta ipašiba vai pazime (piemeram, visu veselo skaitlu kopa, kuri dalas ar ).",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",1.1400907e-06,2.6382747e-09,0.9999988,4.9906437e-24
5,kopa,2.,Kopina  .,numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",0.0038582033,6.101324e-09,0.99614185,8.394401e-17
6,kopa,3.,"Uzberums (parasti zemes, smilšu).",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",1.0840683e-05,2.5051893e-11,0.99998915,3.5511852e-22
7,kopa,4.,"Kulis, viškis.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",3.112788e-05,2.71087e-12,0.9999689,2.878402e-22
8,kopa,5.,"Bars, pulks.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",0.001965716,7.765217e-08,0.9980342,1.030933e-16
9,kopa,6.,Stati pa  kuliem.,numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",3.600105e-06,1.501577e-14,0.9999964,9.1825647e-26
10,seciba,1.,"Noteikta, likumsakariga kartiba, noteikts, likumsakarigs veids, kada (kas) seko viens otram, cits citam vai izriet viens no otra, cits no cita.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",1.4500145e-07,2.3188661e-10,0.9999999,4.4223573e-27
11,piemers,1.,"Konkrets fakts, konkreta doma, kas paklaujas kadiem visparigiem spriedumiem, pamato, ilustre tos.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",7.657939e-09,8.264675e-14,1.0,3.354732e-32
12,piemers,2.,"Izturešanas, ricibas paraugs.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",1.0808868e-07,5.9356626e-12,0.9999999,4.6463426e-28
13,priekšmets,1.,"Objektivas realitates dala, kas tiek ipaši izdalita no realitates.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",4.848634e-08,4.5172576e-13,1.0,2.4138298e-29
14,priekšmets,1.1.,"Lieta, ko izmanto noteiktai vajadzibai (piemeram, sadzive, saimnieciba).",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",5.9893464e-06,7.086694e-08,0.9999939,1.957775e-21
15,priekšmets,1.2.,"Tas, kam ir noteikta vertiba.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",3.53158e-07,1.6848271e-12,0.99999964,1.0425699e-26
16,priekšmets,1.3.,"Tas, kas kadas (parasti juridiskas, socialas) attiecibas iegust noteikta objekta raksturu.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",2.3407887e-09,2.9403085e-14,1.0,5.5735e-34
17,priekšmets,2.,"Tas, kas noder, ir par objektu, avotu u. tml.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",6.328304e-07,3.4998256e-12,0.9999994,7.587819e-26
18,priekšmets,3.,"Didaktiski pamatota zinašanu un prasmju sistema, kas izstradata atbilstoši kadai zinatnes, tehnikas, makslas nozarei un paredzeta apgušanai macibu iestade pec noteiktas macibu programmas; macibu priekšmets, macibpriekšmets.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",1.0649531e-08,8.889449e-13,1.0,1.6077226e-31
19,priekšmets,4.,"Savienojuma “teikuma priekšmets”: teikuma virsloceklis, kas nosauc runas priekšmetu, kura aktualu pazimi izsaka izteicejs.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",2.5243523e-07,2.3445435e-11,0.99999976,1.3432955e-26
20,paradiba,1.,"Butibas izpausme, tas areja, empiriski uztverama forma.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",7.766719e-09,1.2128619e-13,1.0,5.2592846e-32
21,paradiba,2.,"Dabas esamibas un attistibas izpausmes forma (piemeram, dziva butne, process, stavoklis, ipašiba).",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",2.1905132e-07,2.9419596e-09,0.99999976,5.0545785e-26
22,paradiba,3.,Sabiedriskas esamibas un attistibas izpausmes forma; šis formas atspogulojums cilveka darbiba.,numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",2.8671916e-08,2.1608017e-11,1.0,1.2037257e-29
23,paradiba,4.,"Cilveka, ta personibas izpausmju kopums.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",2.4391205e-08,1.9027362e-12,1.0,3.533292e-30
24,paradiba,5.,"Iedomu tels, vizija, ari halucinacija.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",2.2082588e-06,1.7079605e-13,0.99999774,3.7677042e-25
25,virkne,1.,"rinda Viena linija izkartots vai izkartojies (cilveku, dzivnieku, priekšmetu u.tml.) kopums;  .",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",6.416024e-08,1.1190303e-12,0.9999999,5.869291e-29
26,virkne,1.1.,"Cits citam sekojošu elementu, skaitlu u. tml. kopums.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",4.801208e-07,6.8851744e-11,0.9999995,1.2731563e-25
27,virkne,1.2.,"Cits citam sekojošu paradibu, norišu u. tml. kopums.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",2.0024396e-08,1.3333441e-13,1.0,8.103129e-31
28,virkne,2.,"Noteikta seciba saistitu, savertu (piemeram, uz diega, auklas) nelielu vienveidigu priekšmetu kopums.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",5.0266913e-06,4.883027e-10,0.999995,1.1457264e-22
29,virkne,3.,"Samera liels (ka) daudzums, skaits.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",1.6927701e-06,1.1031358e-10,0.99999833,7.358686e-24
30,loceklis,1.,Cilveka vai dzivnieka kermena dala (parasti ekstremitate).,numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",6.622925e-06,9.159551e-11,0.9999933,1.7750744e-22
31,loceklis,2.,"Savienojoša detala, elements, savienojoša (ka) dala.",numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",5.412406e-08,2.310195e-11,1.0,1.3052228e-28
32,loceklis,3.,Locitava .,numurs,1.,"Cipars, ciparu kopa, ar ko noteikta seciba apzime (ka, piemeram, priekšmetu, paradibu) virknes loceklus.",0.041176666,1.2111667e-06,0.9588221,1.7942238e-13
33,priekšmets,1.,"Objektivas realitates dala, kas tiek ipaši izdalita no realitates.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",1.8042692e-07,1.15189e-09,0.99999976,2.0415958e-26
34,priekšmets,1.1.,"Lieta, ko izmanto noteiktai vajadzibai (piemeram, sadzive, saimnieciba).",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",1.4009305e-05,0.9916779,0.008308179,5.083314e-13
35,priekšmets,1.2.,"Tas, kam ir noteikta vertiba.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",2.0739047e-07,3.3795783e-10,0.99999976,1.618773e-26
36,priekšmets,1.3.,"Tas, kas kadas (parasti juridiskas, socialas) attiecibas iegust noteikta objekta raksturu.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",5.8367558e-08,3.2068652e-09,1.0,7.7116585e-28
37,priekšmets,2.,"Tas, kas noder, ir par objektu, avotu u. tml.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",4.030521e-06,1.6677484e-07,0.9999958,1.5915658e-21
38,priekšmets,3.,"Didaktiski pamatota zinašanu un prasmju sistema, kas izstradata atbilstoši kadai zinatnes, tehnikas, makslas nozarei un paredzeta apgušanai macibu iestade pec noteiktas macibu programmas; macibu priekšmets, macibpriekšmets.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",8.157198e-07,2.404926e-06,0.9999968,2.0459975e-23
39,priekšmets,4.,"Savienojuma “teikuma priekšmets”: teikuma virsloceklis, kas nosauc runas priekšmetu, kura aktualu pazimi izsaka izteicejs.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",9.776353e-06,2.6088854e-05,0.9999641,1.1868729e-19
40,plaksne,1.,"Plakans, samera plans cietas vielas veidojums (piemeram, ka nosegšanai).",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",6.5508184e-06,8.592628e-06,0.99998486,3.0895296e-20
41,plaksne,1.1.,"Plakans, parasti plans, mikstas vielas veidojums.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",4.430608e-06,3.1586465e-06,0.9999925,4.515224e-21
42,plaksne,2.,"Plakans, samera plans cietas vielas veidojums, ko izmanto, piemeram, par (ka) zimi.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",1.9767342e-06,6.1689235e-07,0.9999974,2.9092726e-22
43,plaksne,2.1.,Šads veidojums informativu materialu piestiprinašanai.,numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",1.0943228e-07,3.1417133e-10,0.9999999,1.4799033e-27
44,plaksne,3.,"Plakana, plana detala.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",3.7142737e-08,1.8301229e-12,1.0,2.0118971e-29
45,plaksne,4.,"Sfera, joma, kura (ko) attelo, izsaka; viedoklis, no ka (ko) apluko, analize.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",7.4490737e-07,6.819774e-07,0.99999857,1.1651184e-23
46,plaksne,5.,Plakne .,numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",0.5084699,0.2543135,0.23721655,9.326961e-08
47,plaksne,6.,Noteikta aspekta.,numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",5.9211228e-08,3.667258e-11,1.0,1.5207416e-28
48,cipars,1.,Grafiska zime skaitla apzimešanai.,numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",5.8780483e-08,2.6249521e-12,1.0,7.835576e-29
49,cipars,1.1.,"Ar šadam zimem apzimets skaitlis, daudzums.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",2.6838885e-07,4.4485384e-09,0.99999976,1.3576794e-25
50,cipars,2.,Joks ; interesants gajiens.,numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",0.010743958,0.16060373,4.1896456e-08,0.8286522
51,kopa,1.,"Grupa, kuras sastavdalas saista noteiktas attieksmes, pazimes, ipašibas.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",8.137604e-09,1.6533735e-10,1.0,8.19946e-31
52,kopa,1.1.,"Patvaligu elementu savienojums viena vesela (ari klase, sistema utt.), ko raksturo noteikta ipašiba vai pazime (piemeram, visu veselo skaitlu kopa, kuri dalas ar ).",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",1.0366565e-06,1.2402149e-06,0.99999774,3.8831284e-23
53,kopa,2.,Kopina  .,numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",0.00012499215,5.3268595e-06,0.9998696,2.7626641e-17
54,kopa,3.,"Uzberums (parasti zemes, smilšu).",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",2.1200963e-06,2.0744336e-08,0.99999785,1.8000327e-22
55,kopa,4.,"Kulis, viškis.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",0.00042345497,1.3387351e-07,0.9995764,3.3584952e-17
56,kopa,5.,"Bars, pulks.",numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",0.002633333,0.9871257,0.010240967,7.906415e-09
57,kopa,6.,Stati pa  kuliem.,numurs,1.1.,"Priekšmets (parasti plaksne), uz ka ir šads cipars, šada ciparu kopa.",1.6636552e-06,3.9892148e-12,0.99999833,9.612811e-25
58,priekšmets,1.,"Objektivas realitates dala, kas tiek ipaši izdalita no realitates.",numurs,1.2.,"Tas, kas ir apzimets ar šadu priekšmetu.",6.626651e-08,1.7759629e-11,0.9999999,1.6179688e-28
59,priekšmets,1.1.,"Lieta, ko izmanto noteiktai vajadzibai (piemeram, sadzive, saimnieciba).",numurs,1.2.,"Tas, kas ir apzimets ar šadu priekšmetu.",7.377161e-05,0.0030101945,0.99691606,6.830555e-17
60,priekšmets,1.2.,"Tas, kam ir noteikta vertiba.",numurs,1.2.,"Tas, kas ir apzimets ar šadu priekšmetu.",3.3000833e-07,1.2995878e-10,0.99999964,3.972851e-26
61,priekšmets,1.3.,"Tas, kas kadas (parasti juridiskas, socialas) attiecibas iegust noteikta objekta raksturu.",numurs,1.2.,"Tas, kas ir apzimets ar šadu priekšmetu.",1.2892122e-07,1.0430167e-09,0.9999999,3.7962163e-27
62,priekšmets,2.,"Tas, kas noder, ir par objektu, avotu u. tml.",numurs,1.2.,"Tas, kas ir apzimets ar šadu priekšmetu.",6.1872306e-05,7.59979e-07,0.9999374,1.158416e-18
63,priekšmets,3.,"Didaktiski pamatota zinašanu un prasmju sistema, kas izstradata atbilstoši kadai zinatnes, tehnikas, makslas nozarei un paredzeta apgušanai macibu iestade pec noteiktas macibu programmas; macibu priekšmets, macibpriekšmets.",numurs,1.2.,"Tas, kas ir apzimets ar šadu priekšmetu.",1.2599527e-06,5.84196e-07,0.9999981,3.6363178e-23
64,priekšmets,4.,"Savienojuma “teikuma priekšmets”: teikuma virsloceklis, kas nosauc runas priekšmetu, kura aktualu pazimi izsaka izteicejs.",numurs,1.2.,"Tas, kas ir apzimets ar šadu priekšmetu.",0.0011124715,0.028596174,0.9702913,1.1917239e-13
65,cipars,1.,Grafiska zime skaitla apzimešanai.,numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",2.6995565e-08,1.26702305e-14,1.0,8.46949e-31
66,cipars,1.1.,"Ar šadam zimem apzimets skaitlis, daudzums.",numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",2.6217413e-06,4.106204e-09,0.9999974,1.2540436e-22
67,cipars,2.,Joks ; interesants gajiens.,numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",7.1789664e-06,5.7022626e-10,0.99999285,2.3363717e-22
68,kopa,1.,"Grupa, kuras sastavdalas saista noteiktas attieksmes, pazimes, ipašibas.",numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",1.2169294e-08,4.420789e-12,1.0,5.720653e-31
69,kopa,1.1.,"Patvaligu elementu savienojums viena vesela (ari klase, sistema utt.), ko raksturo noteikta ipašiba vai pazime (piemeram, visu veselo skaitlu kopa, kuri dalas ar ).",numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",1.4667474e-07,1.1827693e-10,0.9999999,2.843701e-27
70,kopa,2.,Kopina  .,numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",0.22878776,5.80257e-05,0.7711542,2.6305515e-11
71,kopa,3.,"Uzberums (parasti zemes, smilšu).",numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",2.3651236e-07,2.7397722e-12,0.99999976,8.30626e-27
72,kopa,4.,"Kulis, viškis.",numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",0.0014668161,3.8981632e-10,0.9985331,6.0917154e-18
73,kopa,5.,"Bars, pulks.",numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",2.7264516e-05,9.741196e-09,0.9999727,3.270232e-20
74,kopa,6.,Stati pa  kuliem.,numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",2.5217605e-07,7.668321e-15,0.99999976,2.0547352e-28
75,kopu,1.,"Kopigs, kolektivi izmantojams.",numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",1.4756948e-06,2.632575e-08,0.99999857,2.3314249e-23
76,kopu,2.,"Kopejs, vienots.",numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",3.0297622e-07,1.7949786e-11,0.99999964,2.0139343e-26
77,lielums,1.,"Ipašiba, ipašibu kopums, ko izsaka noteiktas mervienibas, raksturo skaitliski.",numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",2.149132e-08,9.588518e-12,1.0,4.2138527e-30
78,lielums,1.1.,"Ipašibu kopums (parasti apjoms), ko raksturo, salidzinot ar kadu citu priekšmetu, paradibu.",numurs,2.,"Standartizets un ar ciparu, ciparu kopu apzimets (ka) lielums.",5.4011184e-07,4.6082242e-08,0.9999994,1.5874761e-24
