accuracy,precision,recall,f1_score,confusion_matrix,classification_report,config
0.7970200714197759,0.791208668487717,0.7970200714197759,0.7816036060814956,"[[828, 52, 1755, 430], [33, 1310, 1296, 476], [246, 210, 18343, 1467], [106, 169, 2002, 11882]]","              precision    recall  f1-score   support

    hypernym       0.68      0.27      0.39      3065
     hyponym       0.75      0.42      0.54      3115
        none       0.78      0.91      0.84     20266
    synonymy       0.83      0.84      0.84     14159

    accuracy                           0.80     40605
   macro avg       0.76      0.61      0.65     40605
weighted avg       0.79      0.80      0.78     40605
","{'lr': 1e-05, 'num_epochs': 20, 'batch_size': 512, 'hidden_sizes': '[128, 64]', 'activation': 'tanh', 'optimizer': 'Adam', 'dropout_rate': 0.0, 'postive_percentage': 0.7}"
0.5117663940307074,0.26190484205919334,0.5117663940307074,0.346488509194726,"[[0, 0, 3129, 0], [0, 0, 3126, 0], [0, 0, 21399, 0], [0, 0, 14160, 0]]","              precision    recall  f1-score   support

    hypernym       0.00      0.00      0.00      3129
     hyponym       0.00      0.00      0.00      3126
        none       0.51      1.00      0.68     21399
    synonymy       0.00      0.00      0.00     14160

    accuracy                           0.51     41814
   macro avg       0.13      0.25      0.17     41814
weighted avg       0.26      0.51      0.35     41814
","{'lr': 0.01, 'num_epochs': 20, 'batch_size': 32, 'hidden_sizes': '[512]', 'activation': 'relu', 'optimizer': 'SGD', 'dropout_rate': 0.0, 'postive_percentage': 0.6}"
0.3386425599081647,0.11467878338115493,0.3386425599081647,0.17133592912064932,"[[0, 0, 0, 3129], [0, 0, 0, 3126], [0, 0, 0, 21399], [0, 0, 0, 14160]]","              precision    recall  f1-score   support

    hypernym       0.00      0.00      0.00      3129
     hyponym       0.00      0.00      0.00      3126
        none       0.00      0.00      0.00     21399
    synonymy       0.34      1.00      0.51     14160

    accuracy                           0.34     41814
   macro avg       0.08      0.25      0.13     41814
weighted avg       0.11      0.34      0.17     41814
","{'lr': 0.1, 'num_epochs': 20, 'batch_size': 512, 'hidden_sizes': '[256]', 'activation': 'sigmoid', 'optimizer': 'SGD', 'dropout_rate': 0.0, 'postive_percentage': 0.6}"
0.7106513976111316,0.6955174894864241,0.7106513976111316,0.6785335427811452,"[[119, 94, 2112, 740], [6, 923, 1623, 563], [75, 367, 17778, 2046], [12, 373, 3738, 10036]]","              precision    recall  f1-score   support

    hypernym       0.56      0.04      0.07      3065
     hyponym       0.53      0.30      0.38      3115
        none       0.70      0.88      0.78     20266
    synonymy       0.75      0.71      0.73     14159

    accuracy                           0.71     40605
   macro avg       0.64      0.48      0.49     40605
weighted avg       0.70      0.71      0.68     40605
","{'lr': 0.001, 'num_epochs': 20, 'batch_size': 64, 'hidden_sizes': '[128, 64]', 'activation': 'tanh', 'optimizer': 'SGD', 'dropout_rate': 0.0, 'postive_percentage': 0.7}"
0.9073755201607118,0.9070883224398208,0.9073755201607118,0.9069278758092795,"[[2505, 14, 565, 45], [25, 2528, 500, 73], [413, 219, 19713, 1054], [25, 18, 922, 13195]]","              precision    recall  f1-score   support

    hypernym       0.84      0.80      0.82      3129
     hyponym       0.91      0.81      0.86      3126
        none       0.91      0.92      0.91     21399
    synonymy       0.92      0.93      0.93     14160

    accuracy                           0.91     41814
   macro avg       0.90      0.87      0.88     41814
weighted avg       0.91      0.91      0.91     41814
","{'lr': 0.0001, 'num_epochs': 50, 'batch_size': 64, 'hidden_sizes': '[512]', 'activation': 'sigmoid', 'optimizer': 'Adam', 'dropout_rate': 0.0, 'postive_percentage': 0.6}"
0.49910109592414725,0.24910190395268483,0.49910109592414725,0.33233503014567756,"[[0, 0, 3065, 0], [0, 0, 3115, 0], [0, 0, 20266, 0], [0, 0, 14159, 0]]","              precision    recall  f1-score   support

    hypernym       0.00      0.00      0.00      3065
     hyponym       0.00      0.00      0.00      3115
        none       0.50      1.00      0.67     20266
    synonymy       0.00      0.00      0.00     14159

    accuracy                           0.50     40605
   macro avg       0.12      0.25      0.17     40605
weighted avg       0.25      0.50      0.33     40605
","{'lr': 0.1, 'num_epochs': 50, 'batch_size': 512, 'hidden_sizes': '[128]', 'activation': 'relu', 'optimizer': 'SGD', 'dropout_rate': 0.0, 'postive_percentage': 0.7}"
0.5108730451914789,0.5796214869329946,0.5108730451914789,0.3590239013361981,"[[0, 0, 3065, 0], [0, 0, 3115, 0], [0, 0, 20233, 33], [0, 0, 13648, 511]]","              precision    recall  f1-score   support

    hypernym       0.00      0.00      0.00      3065
     hyponym       0.00      0.00      0.00      3115
        none       0.51      1.00      0.67     20266
    synonymy       0.94      0.04      0.07     14159

    accuracy                           0.51     40605
   macro avg       0.36      0.26      0.19     40605
weighted avg       0.58      0.51      0.36     40605
","{'lr': 0.1, 'num_epochs': 20, 'batch_size': 128, 'hidden_sizes': '[512]', 'activation': 'tanh', 'optimizer': 'Adam', 'dropout_rate': 0.0, 'postive_percentage': 0.7}"
0.07483139618309657,0.00559973785471156,0.07483139618309657,0.010419751180691505,"[[3129, 0, 0, 0], [3126, 0, 0, 0], [21399, 0, 0, 0], [14160, 0, 0, 0]]","              precision    recall  f1-score   support

    hypernym       0.07      1.00      0.14      3129
     hyponym       0.00      0.00      0.00      3126
        none       0.00      0.00      0.00     21399
    synonymy       0.00      0.00      0.00     14160

    accuracy                           0.07     41814
   macro avg       0.02      0.25      0.03     41814
weighted avg       0.01      0.07      0.01     41814
","{'lr': 0.1, 'num_epochs': 50, 'batch_size': 512, 'hidden_sizes': '[256, 128, 64]', 'activation': 'relu', 'optimizer': 'SGD', 'dropout_rate': 0.0, 'postive_percentage': 0.6}"
0.49910109592414725,0.24910190395268483,0.49910109592414725,0.33233503014567756,"[[0, 0, 3065, 0], [0, 0, 3115, 0], [0, 0, 20266, 0], [0, 0, 14159, 0]]","              precision    recall  f1-score   support

    hypernym       0.00      0.00      0.00      3065
     hyponym       0.00      0.00      0.00      3115
        none       0.50      1.00      0.67     20266
    synonymy       0.00      0.00      0.00     14159

    accuracy                           0.50     40605
   macro avg       0.12      0.25      0.17     40605
weighted avg       0.25      0.50      0.33     40605
","{'lr': 0.1, 'num_epochs': 50, 'batch_size': 512, 'hidden_sizes': '[256, 128, 64]', 'activation': 'relu', 'optimizer': 'Adam', 'dropout_rate': 0.0, 'postive_percentage': 0.7}"
0.5273114267948534,0.5086660160397521,0.5273114267948534,0.391196163886046,"[[0, 0, 3092, 37], [0, 0, 3097, 29], [0, 0, 21077, 322], [0, 0, 13188, 972]]","              precision    recall  f1-score   support

    hypernym       0.00      0.00      0.00      3129
     hyponym       0.00      0.00      0.00      3126
        none       0.52      0.98      0.68     21399
    synonymy       0.71      0.07      0.13     14160

    accuracy                           0.53     41814
   macro avg       0.31      0.26      0.20     41814
weighted avg       0.51      0.53      0.39     41814
","{'lr': 1e-05, 'num_epochs': 20, 'batch_size': 256, 'hidden_sizes': '[256]', 'activation': 'sigmoid', 'optimizer': 'SGD', 'dropout_rate': 0.0, 'postive_percentage': 0.6}"
